,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,lat,long
36,440000.0,2,1.0,800,4850,1,0,0,4,800,0,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA,0.0,0.0
37,287200.0,3,3.0,1850,19966,1,0,0,4,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,47.349309149999996,-122.03401235182193
38,403000.0,3,2.0,1960,13100,1,0,2,5,1650,310,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,47.441738,-122.340074
39,750000.0,3,2.5,2390,6550,1,0,2,4,1440,950,1955,1,3628 59th Ave SW,Seattle,WA 98116,USA,47.571869089533365,-122.40824218939589
40,335000.0,3,2.25,1580,16215,1,0,0,4,1580,0,1978,1,4460 332nd Ave SE,Fall City,WA 98024,USA,47.563565,-121.897962
41,260000.0,4,2.0,1480,8625,1,0,0,4,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,47.46240402642167,-122.19213623525188
42,308500.0,2,1.0,850,6174,1,0,0,4,850,0,1950,1,121 NE 147th St,Shoreline,WA 98155,USA,47.73532057142857,-122.32830173469388
43,439950.0,3,2.5,1770,2875,2,0,0,3,1770,0,1990,1,4458 51st Ave SW,Seattle,WA 98116,USA,47.56311905,-122.39714878160615
44,235000.0,2,1.0,1210,9400,1,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,47.53522755265638,-122.36025355581349
45,315000.0,3,1.0,1160,9180,1,0,0,3,1160,0,1968,1,15804 198th Pl NE,Woodinville,WA 98077,USA,47.742626349525004,-122.07240721015063
46,437500.0,3,2.25,1970,35100,2,0,0,4,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,47.463536500000004,-121.99080375017088
47,407500.0,3,2.5,1930,10460,2,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,47.49355410505443,-122.16068589300389
48,445700.0,3,2.5,1270,1180,3,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,47.6695426060606,-122.39078204040405
49,838000.0,4,2.5,3310,42998,2,0,0,3,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,47.72250800661911,-122.1348818141504
50,630000.0,4,2.75,2710,37277,2,0,0,3,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,47.46343,-121.98734400213357
51,550000.0,3,1.75,2910,35200,1,0,0,3,2910,0,1979,1,3923 229th Pl SE,Sammamish,WA 98075,USA,47.57420601364195,-122.03378194175376
52,805000.0,3,2.0,2710,4500,1,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,47.67421302013423,-122.29524829530202
53,284000.0,3,1.75,1800,23103,1,0,0,3,1800,0,1968,1,32418 NE 50th St,Carnation,WA 98014,USA,47.651564,-121.906328
54,470000.0,5,2.5,2210,9655,1,0,0,3,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,47.76972705,-122.22223399487895
55,430000.0,4,1.5,1920,10000,1,0,0,4,1070,850,1954,1,4071 156th Ave SE,Bellevue,WA 98006,USA,35.16994933193076,-97.21241175476302
56,491500.0,4,1.75,2190,125452,1,0,2,3,2190,0,1968,1,36850 204th Ave SE,Auburn,WA 98092,USA,47.270483,-122.06912685434143
57,785000.0,5,3.25,3660,11995,2,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,47.532299563712876,-121.8598903498182
58,385000.0,3,3.25,1320,1327,2,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,47.6506205,-122.3830015
59,295000.0,2,2.5,1630,1368,2,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,0.0,0.0
60,555000.0,4,2.5,3310,6500,2,0,0,3,3310,0,2012,1,35229 SE Terrace St,Snoqualmie,WA 98065,USA,47.515108772225474,-121.8700616780966
61,459990.0,3,2.5,2680,5539,2,0,0,3,2680,0,2013,1,13800 453rd Ave SE,North Bend,WA 98045,USA,47.4442286,-121.7366429
62,625000.0,4,3.25,2730,54014,1,0,0,3,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,47.51326345,-122.10977802620192
63,300000.0,3,2.5,2540,5050,2,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,47.3358702,-122.05492251661676
64,625000.0,4,2.75,2920,6605,2,0,0,3,2920,0,2012,1,5608 NE 5th Cir,Renton,WA 98059,USA,47.490806329684425,-122.14479823760658
65,553000.0,2,1.0,900,5000,1,0,0,3,900,0,1944,0,8053 29th Ave NW,Seattle,WA 98117,USA,47.68776382677166,-122.39450909448819
66,379880.0,3,2.5,1650,14054,1,0,0,4,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,47.48202055,-122.01678857507413
67,310000.0,3,1.0,1010,9945,1,0,0,4,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,47.532139693218056,-121.76389133142271
68,775000.0,2,2.5,2680,7392,1,0,0,3,2680,0,2004,1,13134 234th Ct NE,Redmond,WA 98053,USA,47.716930499967276,-122.02628762792067
69,365000.0,3,2.5,2200,7350,1,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,47.439533999999995,-122.1609305
70,331950.0,4,2.5,2530,9933,2,0,2,3,2010,520,1990,1,925 48th Ct,Auburn,WA 98092,USA,27.6240965,-80.4360715
71,783500.0,3,2.5,2850,7130,2,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,37.9798293,-121.304492
72,628000.0,4,2.0,2280,6010,1,0,0,3,1140,1140,1900,1,205-206 Euclid Ave,Seattle,WA 98122,USA,36.867684,-76.309602
73,560000.0,3,2.5,1900,8744,2,0,0,3,1900,0,1987,1,22314 NE 11th Pl,Sammamish,WA 98074,USA,47.61982693020694,-122.04328697068289
74,900000.0,3,1.0,1330,77972,1,0,0,3,1330,0,1928,1,13615 NE 100th St,Kirkland,WA 98033,USA,47.689417823454924,-122.15922469697605
75,531000.0,2,3.0,1270,1175,2,0,0,3,1110,160,2000,0,1411 N 48th St,Seattle,WA 98103,USA,47.66349605050505,-122.34039867676768
76,831000.0,4,3.0,2170,4000,2,0,0,4,1610,560,1982,1,120 31st Ave E,Seattle,WA 98112,USA,47.619212204081634,-122.29221730612244
77,780000.0,4,2.5,2730,10281,2,0,2,3,2730,0,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,47.62258414345789,-122.02886402023884
78,755000.0,4,2.5,2120,10202,1,0,0,4,1620,500,1960,1,12645 SE 27th St,Bellevue,WA 98005,USA,45.602244018084576,-122.5426788252535
79,705380.0,3,2.5,2490,4343,2,0,0,3,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,47.549395026666666,-121.9930998
80,627000.0,4,2.25,1990,7712,1,0,0,3,1210,780,1973,1,18915 SE 42nd Pl,Issaquah,WA 98027,USA,29.26828442857143,-82.45533857142857
81,865000.0,4,3.0,3690,9892,2,0,0,3,3690,0,1998,1,1765 267th Ct SE,Sammamish,WA 98075,USA,47.5937309832443,-121.98176780672074
82,580000.0,2,1.0,2540,7000,1,0,0,5,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,47.5262752873605,-122.26101606584226
83,410000.0,3,2.25,1800,36704,1,0,0,4,1360,440,1978,1,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,47.468749,-122.0131526268116
84,485000.0,4,3.0,2340,7048,1,0,0,4,1340,1000,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,47.73060291139782,-122.22700867462368
85,400000.0,2,1.75,2110,9519,1,0,0,2,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,47.75027117127072,-122.3053971160221
86,549000.0,2,1.0,1140,5400,1,0,0,5,1140,0,1908,0,209 30th Ave E,Seattle,WA 98112,USA,47.62036234693878,-122.2935954489796
87,620000.0,3,1.75,1480,2185,3,0,0,3,1480,0,2005,0,10512 128th Ave NE,Kirkland,WA 98033,USA,47.694551,-122.170136
88,405000.0,2,3.0,1410,1240,2,0,0,3,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,47.5219957,-122.3899355
89,232000.0,2,1.0,1200,8063,1,0,0,4,1200,0,1958,1,20220 8th Ave S,Des Moines,WA 98198,USA,47.42083247474748,-122.32402808080808
90,800866.0,5,2.5,3180,13806,2,0,0,4,3180,0,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,47.65209678363989,-122.18262213117796
91,650000.0,3,1.5,2160,9000,1,0,2,4,1400,760,1949,1,13026 10th Ave NW,Seattle,WA 98177,USA,47.72362053535354,-122.36928668686869
92,823000.0,6,1.75,2920,5000,3,0,0,4,2780,140,1908,0,125 29th Ave,Seattle,WA 98122,USA,47.6024989,-122.2951839
93,770000.0,3,2.0,2350,5700,1,0,0,4,1810,540,1939,1,2171 Boyer Ave E,Seattle,WA 98112,USA,47.63895440909091,-122.30969027272727
94,524000.0,3,1.75,1560,5520,1,0,0,4,780,780,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,47.65083636363636,-122.39941396969698
95,541125.0,5,2.75,2740,8426,1,0,0,4,1370,1370,1960,1,5211 116th Pl SE,Bellevue,WA 98006,USA,47.556473472461,-122.18361299617081
96,670000.0,3,2.5,1680,2000,3,0,0,3,1680,0,1909,1,3503 NE 44th St,Seattle,WA 98105,USA,47.66046287755102,-122.28995963265305
97,384900.0,5,2.5,3090,12750,1,0,0,3,1750,1340,1968,1,114 SW 292nd St,Federal Way,WA 98023,USA,47.34078755,-122.33511989992574
98,406100.0,3,2.25,1410,1332,3,0,0,3,1410,0,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,47.69084390604027,-122.34010293288591
100,736500.0,4,2.5,3180,21904,2,0,3,3,3180,0,2000,0,17132 SE 100th St,Renton,WA 98059,USA,47.5149193,-122.11735466245118
101,570000.0,3,2.25,2010,6000,1,0,0,3,1330,680,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,47.691298450000005,-122.1151960256166
102,787000.0,3,1.75,1330,7500,1,0,0,3,1330,0,1961,1,218 109th Ave SE,Bellevue,WA 98004,USA,47.60765820408164,-122.19494132653061
103,328000.0,4,2.5,2370,6500,2,0,0,3,2370,0,1998,1,12621 SE 300th Way,Auburn,WA 98092,USA,47.33290691507502,-122.17409445291528
104,435000.0,5,2.0,1840,9240,1,0,0,4,1540,300,1942,1,14013 Ashworth Ave N,Seattle,WA 98133,USA,47.73102808510639,-122.33977514893617
105,499000.0,4,2.5,2910,6479,2,0,0,3,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,47.5400109,-121.8887809
106,501000.0,4,1.0,2070,7519,1,0,0,3,1160,910,1963,1,2506 166th Ave NE,Bellevue,WA 98008,USA,47.632003,-122.119114
107,1090000.0,4,2.5,4340,141570,3,0,0,3,4340,0,1992,0,8814 218th Ave NE,Redmond,WA 98053,USA,47.6805175,-122.04758266170177
108,400000.0,2,1.0,840,5510,1,0,0,3,840,0,1955,1,4515 SW Trenton St,Seattle,WA 98136,USA,47.524762124999995,-122.3908150625
109,220000.0,4,1.5,1240,9600,1,0,0,3,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,47.32042013131313,-122.39666693939394
110,657100.0,4,1.0,1390,4240,1,0,0,3,1050,340,1924,1,4312 Woodlawn Ave N,Seattle,WA 98103,USA,47.659398795918364,-122.33847040816326
111,309950.0,4,2.75,2310,5000,2,0,0,3,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,47.36142555,-122.03497912495092
112,300000.0,3,2.0,1050,10072,1,0,0,3,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,47.733936839977005,-121.97614513118089
113,525888.0,5,1.75,2550,71874,1,0,0,5,1810,740,1960,0,13129 195th Pl SE,Issaquah,WA 98027,USA,47.484544400000004,-122.07994067470236
114,740000.0,4,1.75,2010,3600,1,0,0,3,2010,0,1902,0,1014 W Garfield St,Seattle,WA 98119,USA,47.63360728571429,-122.37069742857143
115,340000.0,5,1.0,1120,9022,1,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,45.774728112512705,-94.00797035071236
116,398750.0,3,2.5,2230,4000,2,0,0,3,2230,0,1954,1,2601 21st Ave S,Seattle,WA 98144,USA,47.580167,-122.305573
117,206000.0,2,1.0,810,7158,1,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,47.48834443718593,-122.32474821105528
118,1030000.0,5,2.75,3190,16920,1,0,3,3,1690,1500,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,47.564095521969406,-122.15972521934526
119,600000.0,3,1.75,1670,39639,1,0,0,4,1670,0,1976,1,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,47.594704778088996,-121.98712418664587
120,379950.0,4,1.75,1970,9389,1,0,0,5,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,47.777134,-122.338662
121,287000.0,3,1.0,1450,6000,1,0,0,4,1450,0,1953,1,8681 Beacon Ave S,Seattle,WA 98118,USA,47.52424127973384,-122.28634577575752
123,309950.0,3,2.5,1880,7838,2,0,0,3,1880,0,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,47.443883971418074,-122.18944482448654
124,600000.0,3,1.75,1880,6360,1,0,0,4,1040,840,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA,47.68709606060606,-122.28623785858585
125,418000.0,3,2.0,1410,6030,1,0,0,4,1410,0,1930,0,901 N 97th St,Seattle,WA 98103,USA,47.699544,-122.347141
126,449250.0,4,2.0,1480,3844,1,0,0,5,1480,0,1928,1,519 N 104th St,Seattle,WA 98133,USA,47.70426929032258,-122.35233870967743
127,329950.0,2,1.0,1140,5250,1,0,0,4,1140,0,1949,1,14017 Roslyn Pl N,Seattle,WA 98133,USA,47.7307328989899,-122.3408836060606
128,245000.0,3,1.75,1920,9306,1,0,0,3,1000,920,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,0.0,0.0
129,549000.0,4,2.5,2910,6338,2,0,0,3,2910,0,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA,28.9846741,-81.9237561
130,800000.0,3,2.5,3240,7857,2,0,0,3,3240,0,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,0.0,0.0
131,249950.0,3,2.0,1550,15040,1,0,0,4,1550,0,1958,1,18027 SE 128th St,Renton,WA 98059,USA,47.48740458878505,-122.09993396261682
132,210000.0,5,2.0,2050,10200,1,0,0,3,1430,620,1956,1,20927-20999 2nd Ave S,Des Moines,WA 98198,USA,0.0,0.0
134,585000.0,2,1.0,1770,8640,1,0,0,3,1520,250,1949,1,353 NW 88th St,Seattle,WA 98117,USA,47.6925874,-122.362893
135,615000.0,4,1.75,2300,11700,1,0,0,4,1960,340,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA,47.633301181971916,-122.09402340473508
136,618500.0,3,2.0,1800,5000,1,0,0,4,1080,720,1942,1,2803 NE 62nd St,Seattle,WA 98115,USA,47.673888020408164,-122.29728291836734
137,487585.0,4,1.75,2010,9211,1,0,0,3,1470,540,1977,1,13313 127th Pl NE,Kirkland,WA 98034,USA,47.720274778884765,-122.17072350851967
138,509900.0,3,2.5,1790,2700,2,0,0,3,1790,0,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA,47.56347972597537,-122.09301226741958
139,631625.0,4,2.5,2440,6651,2,0,0,3,2440,0,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,0.0,0.0
140,555000.0,3,2.5,1940,3211,2,0,0,3,1940,0,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA,47.563304973058074,-122.09333045988484
141,340000.0,2,1.5,1160,1438,2,0,0,3,1160,0,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,47.5916006,-122.2950674
142,830000.0,4,2.5,3400,9692,2,0,0,3,3400,0,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA,47.707906,-122.109059
143,890000.0,4,4.25,4420,5750,2,0,0,3,3410,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,47.53964947516716,-122.07297804747803
144,366750.0,3,3.0,1571,2017,3,0,0,3,1571,0,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,47.73266765723757,-122.30880431939845
145,415000.0,3,2.25,1620,998,3,0,0,3,1540,80,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA,44.03947720462271,-92.63905629513111
146,416286.0,3,2.5,1408,989,3,0,0,3,1408,0,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA,47.6856275,-122.3152055
147,478000.0,3,2.5,3040,4535,2,0,0,3,3040,0,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA,47.51003095,-122.18489505597628
148,890000.0,5,3.5,4490,6000,2,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,47.5388612889611,-122.07296303598407
149,419190.0,2,2.5,1590,1426,2,0,0,3,1590,0,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA,47.54437312872716,-122.01258410836802
150,712198.0,4,2.5,2450,4247,2,0,0,3,2450,0,2013,1,17122 NE 117th St,Redmond,WA 98052,USA,47.70501540055852,-122.1117914323511
151,397000.0,4,2.0,1440,7680,1,0,0,3,1200,240,1971,0,10601 NE 138th Pl,Kirkland,WA 98034,USA,47.724626,-122.199681
152,450000.0,2,2.0,1100,3000,1,0,0,3,1100,0,1912,1,412 NW 70th St,Seattle,WA 98117,USA,47.679714700000005,-122.3620540567747
153,353000.0,3,1.0,1350,7740,1,0,0,4,860,490,1947,1,11051 35th Ave NE,Seattle,WA 98125,USA,47.708759080536915,-122.29087261073825
154,609000.0,4,2.5,2150,37981,2,0,0,3,2150,0,1985,0,18114 NE 136th St,Redmond,WA 98052,USA,47.72179435546935,-122.0977842242663
155,234000.0,3,1.75,1490,8366,1,0,0,4,1010,480,1975,0,25305 151st Pl SE,Covington,WA 98042,USA,47.37378984848485,-122.13950166666666
156,561000.0,3,2.0,2000,7000,2,0,0,3,2000,0,1916,1,6422 Marshall Ave SW,Seattle,WA 98136,USA,47.5452115,-122.39326714285714
157,469000.0,2,1.0,1030,4400,1,0,0,3,1030,0,1924,1,310 NW 72nd St,Seattle,WA 98117,USA,47.68081179591837,-122.3607293877551
158,329350.0,2,1.0,720,6687,1,0,0,3,720,0,1942,1,9712 4th Ave NW,Seattle,WA 98117,USA,47.69999724489796,-122.36193246938775
159,488000.0,5,2.0,2020,5000,1,0,0,4,2020,0,1938,0,9020-9024 11th Ave NW,Seattle,WA 98117,USA,0.0,0.0
160,279900.0,3,1.75,1580,8151,1,0,1,4,1100,480,1962,0,1629 S 261st Pl,Des Moines,WA 98198,USA,47.367348920000005,-122.31199868
161,606000.0,4,2.5,2110,13850,2,0,0,3,2110,0,1987,1,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA,42.882623,-70.87501
162,312000.0,4,2.0,1300,7054,1,0,0,3,1300,0,1950,1,2815 SW 107th St,Seattle,WA 98146,USA,47.507179,-122.3691115
163,650000.0,3,1.5,1630,7475,1,0,1,3,1160,470,1940,1,6009 52nd Ave NE,Seattle,WA 98115,USA,47.67230782425918,-122.27174197338111
164,1135000.0,4,2.75,3370,8103,1,0,3,3,1970,1400,1970,1,3922 SW Henderson St,Seattle,WA 98136,USA,47.52300626644018,-122.38244006522886
165,325000.0,4,2.5,1890,6156,1,0,0,3,980,910,1980,0,5631 17th Ave SW,Seattle,WA 98106,USA,47.55178579518072,-122.35607745381526
166,425000.0,4,2.0,1520,7983,1,0,0,5,1520,0,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA,47.735758,-122.192879
167,219000.0,2,1.0,900,5160,1,0,0,3,900,0,1952,1,8652 17th Ave SW,Seattle,WA 98106,USA,47.52596524242424,-122.3563011010101
168,250000.0,3,1.0,1050,6874,1,0,0,3,1050,0,1954,1,18305 Dayton Ave N,Shoreline,WA 98133,USA,47.761932645622224,-122.35509550654673
169,390000.0,3,1.75,1260,6500,1,0,0,4,1260,0,1966,0,1415 168th Ave NE,Bellevue,WA 98008,USA,35.2347748922158,-97.19421540469469
170,475000.0,6,3.0,3470,117612,1,0,0,3,3470,0,1924,1,19007 80th Ave NE,Kenmore,WA 98028,USA,47.766115212121214,-122.23347709090909
171,736000.0,4,2.5,2290,12047,2,0,0,4,2290,0,1988,0,17435 SE 47th St,Bellevue,WA 98006,USA,47.560236427519406,-122.10523071744178
172,407000.0,4,2.25,2810,23400,1,0,1,3,1710,1100,1958,1,23024-23198 17th Ave S,Des Moines,WA 98198,USA,0.0,0.0
173,272000.0,3,2.5,1650,13816,2,0,0,3,1650,0,1998,1,32000-32072 NE 55th St,Carnation,WA 98014,USA,0.0,0.0
174,362000.0,3,2.25,1640,14374,1,0,0,4,1140,500,1963,0,17253 Ambaum Blvd S,Burien,WA 98148,USA,47.44811419215363,-122.33150129936466
175,535000.0,3,2.5,1850,10109,2,0,0,3,1850,0,1991,0,8409 NE 129th Pl,Kirkland,WA 98034,USA,47.716566812482455,-122.2292635735175
176,284000.0,4,2.5,2000,5390,2,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA,47.37305495203722,-122.12862202726404
177,367500.0,3,1.5,1410,9647,1,0,0,3,1410,0,1961,1,18048 3rd Ave NW,Shoreline,WA 98177,USA,47.760112432432436,-122.36107691891891
178,379900.0,4,1.75,1500,11600,1,0,0,4,1000,500,1955,1,15007 75th Ave NE,Kenmore,WA 98028,USA,45.787273601049634,-94.0086736760137
179,520000.0,3,2.5,2460,54885,2,0,0,4,2460,0,1980,0,5424 NE 10th St,Renton,WA 98059,USA,47.49935830892072,-122.14651436008299
180,175000.0,3,1.0,1010,7034,1,0,0,3,1010,0,1954,1,207 NW 5th St,Renton,WA 98057,USA,32.31855199172251,-102.55297227230982
181,460000.0,2,2.25,1230,929,2,0,0,3,1020,210,2004,1,100 24th Ave E,Seattle,WA 98112,USA,47.6190559,-122.3009099
182,345000.0,4,2.5,2331,3826,2,0,0,3,2331,0,2007,0,11853 SE 176th Ct,Renton,WA 98058,USA,47.44455305497716,-122.18320747397226
